status,state,bill_number,description,sponsors,committee,session,latest_action,bill_id
INTRODUCED,Washington,SB 5137,Requiring parental or legal guardian approval before a child participates in comprehensive sexual health education.,"Jim McCune (R),Leonard Christian (R),Phil Fortunato (R),+1 sponsor",EARLY LEARNING & K-12 EDUCATION,"2025-2026 REGULAR SESSION
LATEST ACTION: JANUARY 12, 2026","JANUARY 12, 2026",state-wa-2025_2026-sb5137
INTRODUCED,Washington,SB 5136,Protecting the rights of parents and guardians by using students' given names in public schools.,"Jim McCune (R),Phil Fortunato (R),Jeff Wilson (R)",EARLY LEARNING & K-12 EDUCATION,"2025-2026 REGULAR SESSION
LATEST ACTION: JANUARY 12, 2026","JANUARY 12, 2026",state-wa-2025_2026-sb5136
INTRODUCED,Washington,SB 5012,Concerning the organization of interscholastic athletics.,"Phil Fortunato (R),Leonard Christian (R),Jim McCune (R)",EARLY LEARNING & K-12 EDUCATION,"2025-2026 REGULAR SESSION
LATEST ACTION: JANUARY 12, 2026","JANUARY 12, 2026",state-wa-2025_2026-sb5012
INTRODUCED,Washington,HB 1699,Defending equity in interscholastic sports.,"Mike Volz (R),Jim Walsh (R),Rob Chase (R),+23 sponsors",EDUCATION,"2025-2026 REGULAR SESSION
LATEST ACTION: JANUARY 12, 2026","JANUARY 12, 2026",state-wa-2025_2026-hb1699
INTRODUCED,Washington,HB 1038,"Prohibiting puberty blocking medications, cross-sex hormones, and gender transition surgeries for minors.","Cyndy Jacobsen (R),Joel McEntire (R),Jim Walsh (R),+4 sponsors",HEALTH CARE & WELLNESS,"2025-2026 REGULAR SESSION
LATEST ACTION: JANUARY 12, 2026","JANUARY 12, 2026",state-wa-2025_2026-hb1038
INTRODUCED,Washington,HB 1027,Concerning housing of inmates in state correctional facilities.,"Cyndy Jacobsen (R),Travis Couture (R),Matt Marshall (R),+1 sponsor",COMMUNITY SAFETY,"2025-2026 REGULAR SESSION
LATEST ACTION: JANUARY 12, 2026","JANUARY 12, 2026",state-wa-2025_2026-hb1027
INTRODUCED,Wisconsin,SB 117,Relating to: designating athletic sports and teams operated or sponsored by public schools or private schools participating in a parental choice program based on the sex of the participants.,"Rob Hutton (R),Mary Felzkowski (R),Dan Feyen (R),+7 sponsors","GOVERNMENT OPERATIONS, LABOR AND ECONOMIC DEVELOPMENT","2025-2026 REGULAR SESSION
LATEST ACTION: JANUARY 8, 2026","JANUARY 8, 2026",state-wi-2025-sb117
INTRODUCED,Wisconsin,SB 116,Relating to: designating University of Wisconsin and technical college sports and athletic teams based on the sex of the participants.,"Rob Hutton (R),Mary Felzkowski (R),Dan Feyen (R),+7 sponsors","GOVERNMENT OPERATIONS, LABOR AND ECONOMIC DEVELOPMENT","2025-2026 REGULAR SESSION
LATEST ACTION: JANUARY 8, 2026","JANUARY 8, 2026",state-wi-2025-sb116
INTRODUCED,New York,S 7489,Provides for temporary exemptions to educational institutions from certain requirements related to the multi-occupancy bathrooms and locker rooms; and authorizes funding for related improvements,"Mark Walczyk (R),Tom O'Mara (R)",EDUCATION,"2025 REGULAR SESSION
LATEST ACTION: JANUARY 7, 2026","JANUARY 7, 2026",state-ny-2025_2026-s7489
INTRODUCED,New York,S 3591,Requires age verification for internet pornography websites,"Jake Ashby (R),George Borrello (R),Peter Oberacker (R),+14 sponsors","CODES, INTERNET AND TECHNOLOGY","2025 REGULAR SESSION
LATEST ACTION: JANUARY 7, 2026","JANUARY 7, 2026",state-ny-2025_2026-s3591
INTRODUCED,New York,A 8053,Provides for temporary exemptions to educational institutions from certain requirements related to the multi-occupancy bathrooms and locker rooms; and authorizes funding for related improvements,"Will Barclay (R),Ken Blankenbush (R),Scott Gray (R),+1 sponsor",GOVERNMENTAL OPERATIONS,"2025 REGULAR SESSION
LATEST ACTION: JANUARY 7, 2026","JANUARY 7, 2026",state-ny-2025_2026-a8053
INTRODUCED,New York,A 3946,Requires age verification for internet pornography websites,"Mary Beth Walsh (R),Joe Angelino (R),Brian Maher (R),+11 sponsors",CONSUMER AFFAIRS AND PROTECTION,"2025 REGULAR SESSION
LATEST ACTION: JANUARY 7, 2026","JANUARY 7, 2026",state-ny-2025_2026-a3946
INTRODUCED,New York,A 3773,Requires parental consent for sexual health education for certain students,"Jaime Williams (D),Al Taylor (D),Brian Manktelow (R),+9 sponsors",EDUCATION,"2025 REGULAR SESSION
LATEST ACTION: JANUARY 7, 2026","JANUARY 7, 2026",state-ny-2025_2026-a3773
INTRODUCED,Nebraska,LB 655,Provide for medical conscience-based objections,Dave Murman (N),HEALTH AND HUMAN SERVICES,"109TH LEGISLATURE (2025-2026)
LATEST ACTION: JANUARY 7, 2026","JANUARY 7, 2026",state-ne-109-lb655
INTRODUCED,Iowa,HF 583,"A bill for an act relating to sex and gender, including those and related terms for purposes of statutory construction, indications of a person’s sex on certain vital records, gender identity under the Iowa civil rights Act, and school curricula related to gender theory.",COMMITTEE ON JUDICIARY,(NO COMMITTEE),"2025-2026 REGULAR SESSION
LATEST ACTION: DECEMBER 29, 2025","DECEMBER 29, 2025",state-ia-2025_2026-hf583
INTRODUCED,Wisconsin,SB 405,Relating to: a civil cause of action for a minor injured by a gender transition procedure.,"Rob Hutton (R),Chris Kapenga (R),Julian Bradley (R),+1 sponsor",HEALTH,"2025-2026 REGULAR SESSION
LATEST ACTION: DECEMBER 12, 2025","DECEMBER 12, 2025",state-wi-2025-sb405
INTRODUCED,Hawaii,SB 1542,RELATING TO AGE VERIFICATION FOR APP DEVELOPERS AND APP STORES ACT.,"Donna Kim (D),Henry Aquino (D),Stanley Chang (D),+6 sponsors","CPN, JDC, LBT","2025 REGULAR SESSION
LATEST ACTION: DECEMBER 8, 2025","DECEMBER 8, 2025",state-hi-2025-sb1542
INTRODUCED,Hawaii,HB 899,RELATING TO GROWTH AND DEVELOPMENT IN SEXUALITY HEALTH EDUCATION CURRICULUM.,"Elijah Pierick (R),Diamond Garcia (R),Lauren Matsumoto (R)","HLT, JHA, FIN, EDN","2025 REGULAR SESSION
LATEST ACTION: DECEMBER 8, 2025","DECEMBER 8, 2025",state-hi-2025-hb899
INTRODUCED,Hawaii,HB 268,RELATING TO SEX-BASED ATHLETIC COMPETITIONS IN SPORTS.,"David Alcos (R),Diamond Garcia (R),Gene Ward (R)","JHA, EDN","2025 REGULAR SESSION
LATEST ACTION: DECEMBER 8, 2025","DECEMBER 8, 2025",state-hi-2025-hb268
INTRODUCED,Hawaii,HB 264,RELATING TO FAMILY COURT.,"David Alcos (R),Diamond Garcia (R),Gene Ward (R)","HSH, JHA","2025 REGULAR SESSION
LATEST ACTION: DECEMBER 8, 2025","DECEMBER 8, 2025",state-hi-2025-hb264
INTRODUCED,Hawaii,HB 257,RELATING TO CERTIFICATES OF BIRTH.,"David Alcos (R),Diamond Garcia (R),Gene Ward (R)","HLT, JHA","2025 REGULAR SESSION
LATEST ACTION: DECEMBER 8, 2025","DECEMBER 8, 2025",state-hi-2025-hb257
INTRODUCED,Hawaii,HB 207,RELATING TO SEX-SPECIFIC STUDENT ATHLETIC TEAMS.,"Diamond Garcia (R),David Alcos (R),Garner Shimizu (R),+1 sponsor","JHA, FIN, EDN","2025 REGULAR SESSION
LATEST ACTION: DECEMBER 8, 2025","DECEMBER 8, 2025",state-hi-2025-hb207
INTRODUCED,Hawaii,HB 1397,RELATING TO PARENTAL RIGHTS.,"Elijah Pierick (R),David Alcos (R),Diamond Garcia (R),+2 sponsors","HSH, JHA","2025 REGULAR SESSION
LATEST ACTION: DECEMBER 8, 2025","DECEMBER 8, 2025",state-hi-2025-hb1397
INTRODUCED,Hawaii,HB 1212,RELATING TO PORNOGRAPHIC WEBSITES.,Elijah Pierick (R),"JHA, CPC","2025 REGULAR SESSION
LATEST ACTION: DECEMBER 8, 2025","DECEMBER 8, 2025",state-hi-2025-hb1212
INTRODUCED,New Hampshire,HB 232,relative to the rights of conscience for medical professionals.,"Mark A Pearson,Debra L DeSimone,Maureen Mooney (R),+6 sponsors",JUDICIARY,"2025 REGULAR SESSION
LATEST ACTION: NOVEMBER 19, 2025","NOVEMBER 19, 2025",state-nh-2025-hb232
SIGNED BY GOVERNOR,New Hampshire,HB 377,relative to health care professionals administering hormone treatments and puberty blockers and relative to recognizing the second Thursday in October as children's environmental health day.,"Lisa Mazur (R),Judy Aron (R),Jim A Kofalt,+6 sponsors","HEALTH AND HUMAN SERVICES, HEALTH, HUMAN SERVICES AND ELDERLY AFFAIRS","2025 REGULAR SESSION
LATEST ACTION: NOVEMBER 3, 2025","NOVEMBER 3, 2025",state-nh-2025-hb377
PASSED LOWER,Ohio,HB 162,Enact the My Child-My Chart Act,"Gary Click (R),Angie King (R),Josh Williams (R),+8 sponsors","HEALTH, HEALTH","136TH LEGISLATURE (2025-2026)
LATEST ACTION: OCTOBER 22, 2025","OCTOBER 22, 2025",state-oh-136-hb162
BECAME LAW,Ohio,HB 96,Make state operating appropriations for FY 2026-27,Brian Stewart (R),"FINANCE, FINANCE","136TH LEGISLATURE (2025-2026)
LATEST ACTION: OCTOBER 1, 2025","OCTOBER 1, 2025",state-oh-136-hb96
INTRODUCED,Massachusetts,H 550,An Act relative to securing parental consent for human sexuality education,David DeCoste (R),EDUCATION,"194TH LEGISLATURE (2025-2026)
LATEST ACTION: SEPTEMBER 16, 2025","SEPTEMBER 16, 2025",state-ma-194th-h550
PASSED,Michigan,HB 4024,Civil rights: privacy; restriction of student access to certain restrooms and changing areas based on biological sex; provide for. Creates new act.,"Joseph Fox (R),Steve Carra (R),Angela Rigas (R),+19 sponsors","GOVERNMENT OPERATIONS, EDUCATION AND WORKFORCE","2025-2026 REGULAR SESSION
LATEST ACTION: SEPTEMBER 9, 2025","SEPTEMBER 9, 2025",state-mi-2025_2026-hb4024
INTRODUCED,Michigan,HB 4776,Mental health: children; conversion therapy; allow. Amends sec. 100a of 1974 PA 258 (MCL 330.1100a).,Brad Paquette (R),GOVERNMENT OPERATIONS,"2025-2026 REGULAR SESSION
LATEST ACTION: AUGUST 21, 2025","AUGUST 21, 2025",state-mi-2025_2026-hb4776
INTRODUCED,Michigan,HJR L,Recreation: athletics and sports; determining classification of athletic events based on the biological sex of the participant assigned at birth; allow. Amends the state constitution by adding sec. 29 to art. l.,Jason Woolford (R),GOVERNMENT OPERATIONS,"2025-2026 REGULAR SESSION
LATEST ACTION: AUGUST 14, 2025","AUGUST 14, 2025",state-mi-2025_2026-hjrl
SIGNED BY GOVERNOR,New Hampshire,HB 712,"limiting breast surgeries for minors, relative to residential care and health facility licensing, and relative to the collection and reporting of abortion statistics by health care providers and medical facilities.","Lisa Mazur (R),Jeanine M Notter,Jim A Kofalt,+8 sponsors","HEALTH AND HUMAN SERVICES, HEALTH, HUMAN SERVICES AND ELDERLY AFFAIRS","2025 REGULAR SESSION
LATEST ACTION: AUGUST 11, 2025","AUGUST 11, 2025",state-nh-2025-hb712
BECAME LAW,West Virginia,SB 299,"Modifying WV regulations on pubertal modulation, hormonal therapy, and gender reassignment","Chris Rose (R),Jason Barrett (R),Patricia Rucker (R),+5 sponsors","HEALTH AND HUMAN RESOURCES, JUDICIARY, JUDICIARY, HEALTH AND HUMAN RESOURCES","2025 REGULAR SESSION
LATEST ACTION: AUGUST 8, 2025","AUGUST 8, 2025",state-wv-2025-sb299
BECAME LAW,West Virginia,SB 154,Prohibiting sexual orientation instruction in public schools,"Amy Grady (R),Darren Thorne (R),Brian Helton (R),+7 sponsors","EDUCATION, JUDICIARY, EDUCATION, JUDICIARY","2025 REGULAR SESSION
LATEST ACTION: AUGUST 8, 2025","AUGUST 8, 2025",state-wv-2025-sb154
BECAME LAW,North Carolina,HB 805,Prevent Sexual Exploitation/Women and Minors.,"Neal Jackson (R),Sarah Stevens (R),Jennifer Balkcom (R),+18 sponsors","RULES, CALENDAR, AND OPERATIONS OF THE HOUSE, RULES AND OPERATIONS OF THE SENATE, JUDICIARY, STATE AND LOCAL GOVERNMENT, JUDICIARY 2","2025-2026 SESSION
LATEST ACTION: JULY 29, 2025","JULY 29, 2025",state-nc-2025-hb805
VETOED,New Hampshire,HB 446,relative to parental notice for non-academic surveys in public schools.,"Melissa Litchfield (R),Jeff Tenczar (R),Daniel Popovici-Muller (R),+2 sponsors","EDUCATION, EDUCATION POLICY AND ADMINISTRATION","2025 REGULAR SESSION
LATEST ACTION: JULY 17, 2025","JULY 17, 2025",state-nh-2025-hb446
INTRODUCED,Massachusetts,H 551,An Act Relative to Parental Rights in Education,"David DeCoste (R),John Gaskey (R)",EDUCATION,"194TH LEGISLATURE (2025-2026)
LATEST ACTION: JULY 10, 2025","JULY 10, 2025",state-ma-194th-h551
BECAME LAW,North Carolina,SB 442,Parents Protection Act.,"Jim Burgin (R),Amy Galey (R),Benton Sawrey (R),+6 sponsors","RULES AND OPERATIONS OF THE SENATE, JUDICIARY, RULES, CALENDAR, AND OPERATIONS OF THE HOUSE, HEALTH","2025-2026 SESSION
LATEST ACTION: JULY 3, 2025","JULY 3, 2025",state-nc-2025-sb442
SIGNED BY GOVERNOR,Georgia,SB 1,'Fair and Safe Athletic Opportunities Act'; enact,"Greg Dolezal (R),John Kennedy (R),Steve Gooch (R),+27 sponsors","EDUCATION AND YOUTH, EDUCATION","2025-2026 REGULAR SESSION
LATEST ACTION: JULY 1, 2025","JULY 1, 2025",state-ga-2025_26-sb1
INTRODUCED,Oregon,SB 899,Relating to gender reassignment surgery.,"Todd Nash (R),Bobby Levy (R),Darin Harbick (R)",HEALTH CARE,"2025 REGULAR SESSION
LATEST ACTION: JUNE 27, 2025","JUNE 27, 2025",state-or-2025r1-sb899
INTRODUCED,Oregon,SB 672,Relating to prohibiting gender-affirming care at correctional facilities.,"Daniel Bonham (R),Noah Robinson (R),David Smith (R)",HEALTH CARE,"2025 REGULAR SESSION
LATEST ACTION: JUNE 27, 2025","JUNE 27, 2025",state-or-2025r1-sb672
INTRODUCED,Oregon,SB 506,Relating to prohibiting gender-affirming care at correctional facilities.,David Smith (R),HEALTH CARE,"2025 REGULAR SESSION
LATEST ACTION: JUNE 27, 2025","JUNE 27, 2025",state-or-2025r1-sb506
INTRODUCED,Oregon,HB 3338,Relating to gender-affirming treatment; declaring an emergency.,"Ed Diehl (R),Cyrus Javadi (D),Darin Harbick (R),+5 sponsors",BEHAVIORAL HEALTH AND HEALTH CARE,"2025 REGULAR SESSION
LATEST ACTION: JUNE 27, 2025","JUNE 27, 2025",state-or-2025r1-hb3338
INTRODUCED,Oregon,HB 2439,Relating to gender identity.,"Dwayne Yunker (R),Boomer Wright (R),Todd Nash (R),+2 sponsors",RULES,"2025 REGULAR SESSION
LATEST ACTION: JUNE 27, 2025","JUNE 27, 2025",state-or-2025r1-hb2439
INTRODUCED,Oregon,HB 2393,Relating to the examination of instructional materials.,"Bobby Levy (R),Kim Thatcher (R),Dwayne Yunker (R),+2 sponsors","EDUCATION, WAYS AND MEANS","2025 REGULAR SESSION
LATEST ACTION: JUNE 27, 2025","JUNE 27, 2025",state-or-2025r1-hb2393
INTRODUCED,Oregon,HB 2309,Relating to change of name.,"Kevin Mannix (R),Anna Scharf (R)",JUDICIARY,"2025 REGULAR SESSION
LATEST ACTION: JUNE 27, 2025","JUNE 27, 2025",state-or-2025r1-hb2309
INTRODUCED,Oregon,HB 2047,Relating to parental rights.,"Boomer Wright (R),Ed Diehl (R),Werner Reschke (R)",JUDICIARY,"2025 REGULAR SESSION
LATEST ACTION: JUNE 27, 2025","JUNE 27, 2025",state-or-2025r1-hb2047
INTRODUCED,Oregon,HB 2037,Relating to participation in athletics according to biological sex.,"Boomer Wright (R),Emily McIntire (R),Bobby Levy (R),+12 sponsors",EDUCATION,"2025 REGULAR SESSION
LATEST ACTION: JUNE 27, 2025","JUNE 27, 2025",state-or-2025r1-hb2037
BECAME LAW,Texas,SB 13,"Relating to a school district's library materials and catalog, the establishment of local school library advisory councils, and parental rights regarding public school library catalogs and access by the parent's child to library materials.","Angela Paxton (R),Paul Bettencourt (R),Brian Birdwell (R),+21 sponsors","PUBLIC EDUCATION, EDUCATION K-16","89TH LEGISLATURE (2025)
LATEST ACTION: JUNE 20, 2025","JUNE 20, 2025",state-tx-89r-sb13
BECAME LAW,Texas,HB 581,Relating to the creation of artificial sexual material harmful to minors.,"Mary González (D),Suleman Lalani (D),Linda Garcia (D),+3 sponsors","JUDICIARY & CIVIL JURISPRUDENCE, STATE AFFAIRS","89TH LEGISLATURE (2025)
LATEST ACTION: JUNE 20, 2025","JUNE 20, 2025",state-tx-89r-hb581
BECAME LAW,Texas,HB 229,Relating to general definitions for and collection of governmental information regarding biological sex.,"Ellen Troxclair (R),Valoree Swanson (R),Shelby Slawson (R),+74 sponsors",STATE AFFAIRS,"89TH LEGISLATURE (2025)
LATEST ACTION: JUNE 20, 2025","JUNE 20, 2025",state-tx-89r-hb229
BECAME LAW,Texas,HB 1106,Relating to the definitions of child abuse and neglect.,"Matt Shaheen (R),Shelley Luther (R),Trey Wharton (R),+23 sponsors","HUMAN SERVICES, HEALTH & HUMAN SERVICES","89TH LEGISLATURE (2025)
LATEST ACTION: JUNE 20, 2025","JUNE 20, 2025",state-tx-89r-hb1106
SIGNED BY GOVERNOR,New Hampshire,SB 96,relative to mandatory disclosure by school district employees to parents and relative to enforcement of parental rights against school districts and school employees.,"Tim Lang (R),Sharon Carson (R),Jeanine M Notter,+12 sponsors","EDUCATION, EDUCATION POLICY AND ADMINISTRATION","2025 REGULAR SESSION
LATEST ACTION: JUNE 20, 2025","JUNE 20, 2025",state-nh-2025-sb96
INTRODUCED,Maine,LD 1873,An Act To Require Age Verification For Online Obscene Matter,"Katrina Smith (R),Alicia Collins (R),Rolf Olsen (R),+1 sponsor",JUDICIARY,"132ND LEGISLATURE (2025-2026)
LATEST ACTION: JUNE 17, 2025","JUNE 17, 2025",state-me-132-ld1873
INTRODUCED,Maine,LD 1337,An Act To Amend The Maine Human Rights Act Regarding Female Athletes And Safety In Women'S Single-Sex Shelters,"Liz Caruso (R),Russell Black (R),Billy Bob Faulkingham (R),+7 sponsors",JUDICIARY,"132ND LEGISLATURE (2025-2026)
LATEST ACTION: JUNE 16, 2025","JUNE 16, 2025",state-me-132-ld1337
INTRODUCED,Iowa,SF 8,"A bill for an act prohibiting school districts and charter schools from taking disciplinary action against employees, contractors, or students for the use of legal names, the use of student names as listed in school registration forms or records, or for the failure to use personal pronouns in official communications, and providing civil penalties.",Jesse Green (R),EDUCATION,"2025-2026 REGULAR SESSION
LATEST ACTION: JUNE 16, 2025","JUNE 16, 2025",state-ia-2025_2026-sf8
INTRODUCED,Florida,SB 440,Gender Identity Employment Practices,"Stan McClain (R),Governmental Oversight and Accountability","JUDICIARY, GOVERNMENTAL OVERSIGHT AND ACCOUNTABILITY, FISCAL POLICY","2025 REGULAR SESSION
LATEST ACTION: JUNE 16, 2025","JUNE 16, 2025",state-fl-2025-sb440
INTRODUCED,Florida,SB 1288,Parental Rights,"Erin Grall (R),Judiciary,Rules","JUDICIARY, RULES, EDUCATION PRE-K -12","2025 REGULAR SESSION
LATEST ACTION: JUNE 16, 2025","JUNE 16, 2025",state-fl-2025-sb1288
PASSED LOWER,Florida,HB 1505,Parental Rights,"Rachel Plakon (R),Kim Kendall (R),Judiciary Committee,+12 sponsors","HEALTH & HUMAN SERVICES COMMITTEE, JUDICIARY COMMITTEE, RULES, EDUCATION & EMPLOYMENT COMMITTEE","2025 REGULAR SESSION
LATEST ACTION: JUNE 16, 2025","JUNE 16, 2025",state-fl-2025-hb1505
INTRODUCED,Florida,HB 1495,Gender Identity Employment Practices,"Rachel Plakon (R),Doug Bankson (R),Kim Kendall (R)","STATE AFFAIRS COMMITTEE, GOVERNMENT OPERATIONS SUBCOMMITTEE, CIVIL JUSTICE AND CLAIMS SUBCOMMITTEE","2025 REGULAR SESSION
LATEST ACTION: JUNE 16, 2025","JUNE 16, 2025",state-fl-2025-hb1495
INTRODUCED,Maine,LD 1432,An Act To Remove Consideration Of Gender Identity From The Maine Human Rights Act,"Mike Soboleski (R),Gary Drinkwater (R),Ann Marie Fredericks (R),+7 sponsors",JUDICIARY,"132ND LEGISLATURE (2025-2026)
LATEST ACTION: JUNE 13, 2025","JUNE 13, 2025",state-me-132-ld1432
PASSED,New Hampshire,SB 72,establishing a parental bill of rights.,"Tim Lang (R),Sharon Carson (R),Jason Osborne (R),+15 sponsors","CHILDREN AND FAMILY LAW, CHILDREN AND FAMILY LAW","2025 REGULAR SESSION
LATEST ACTION: JUNE 12, 2025","JUNE 12, 2025",state-nh-2025-sb72
SIGNED BY GOVERNOR,New Hampshire,HB 10,establishing a parental bill of rights.,"Sherm Packard (R),Debra L DeSimone,Jason Osborne (R),+3 sponsors","EDUCATION, CHILDREN AND FAMILY LAW","2025 REGULAR SESSION
LATEST ACTION: JUNE 11, 2025","JUNE 11, 2025",state-nh-2025-hb10
INTRODUCED,Pennsylvania,SB 843,An Act prohibiting minor medical procedures that cause permanent and irreparable damage due to certain sex transitioning procedures; prescribing penalties; and establishing a private right of action.,"Judy Ward (R),Pat Stefano (R),Scott Hutchinson (R),+8 sponsors",HEALTH & HUMAN SERVICES,"2025-2026 REGULAR SESSION
LATEST ACTION: JUNE 9, 2025","JUNE 9, 2025",state-pa-2025_2026-sb843
INTRODUCED,Maine,LD 1974,An Act To Affirm Parental Rights,"Liz Caruso (R),Mark Babin (R),Quentin Chapman (R),+3 sponsors",JUDICIARY,"132ND LEGISLATURE (2025-2026)
LATEST ACTION: JUNE 9, 2025","JUNE 9, 2025",state-me-132-ld1974
INTRODUCED,New Mexico,SB 500,DETRANSITIONER PROTECTION ACT,"David Gallegos (R),Jay Block (R)","JUDICIARY, HEALTH, PUBLIC AFFAIRS","2025 REGULAR SESSION
LATEST ACTION: JUNE 3, 2025","JUNE 3, 2025",state-nm-2025-sb500
INTRODUCED,New Mexico,SB 459,PROTECTION OF WOMEN'S SPORTS ACT,"Jay Block (R),Nicole Tobiassen (R)","JUDICIARY, HEALTH, PUBLIC AFFAIRS","2025 REGULAR SESSION
LATEST ACTION: JUNE 3, 2025","JUNE 3, 2025",state-nm-2025-sb459
INTRODUCED,New Mexico,HB 559,GENDER IDENTITY & CHILD CUSTODY,"John Block (R),Rebecca Dow (R)","CONSUMER & PUBLIC AFFAIRS, JUDICIARY","2025 REGULAR SESSION
LATEST ACTION: JUNE 3, 2025","JUNE 3, 2025",state-nm-2025-hb559
INTRODUCED,New Mexico,HB 466,HORMONE THERAPY & PUBERTY BLOCKER PROTECTION,"Rodney Montoya (R),Rebecca Dow (R),Harlan Vincent (R),+2 sponsors","CONSUMER & PUBLIC AFFAIRS, JUDICIARY","2025 REGULAR SESSION
LATEST ACTION: JUNE 3, 2025","JUNE 3, 2025",state-nm-2025-hb466
INTRODUCED,New Mexico,HB 44,PROTECT OF MINORS FROM HARMFUL MATERIAL,John Block (R),"JUDICIARY, COMMERCE & ECONOMIC DEVELOPMENT","2025 REGULAR SESSION
LATEST ACTION: JUNE 3, 2025","JUNE 3, 2025",state-nm-2025-hb44
INTRODUCED,New Mexico,HB 380,WOMEN'S SAFETY & PROTECTION ACT,"Rodney Montoya (R),Jenifer Jones (R),Andi Reeb (R),+1 sponsor","CONSUMER & PUBLIC AFFAIRS, JUDICIARY","2025 REGULAR SESSION
LATEST ACTION: JUNE 3, 2025","JUNE 3, 2025",state-nm-2025-hb380
INTRODUCED,New Mexico,HB 185,PROTECTION OF WOMEN'S SPORTS ACT,"Andi Reeb (R),Jenifer Jones (R),Rebecca Dow (R),+2 sponsors","CONSUMER & PUBLIC AFFAIRS, JUDICIARY","2025 REGULAR SESSION
LATEST ACTION: JUNE 3, 2025","JUNE 3, 2025",state-nm-2025-hb185
REFERRED TO COMMITTEE,Illinois,SB 2316,PARENTAL CONSENT SOCIAL MEDIA,Laura Ellman (D),"ASSIGNMENTS, EXECUTIVE","104TH REGULAR SESSION
LATEST ACTION: JUNE 2, 2025","JUNE 2, 2025",state-il-104th-sb2316
