State,Bill Name,Issues,Status,Status Detail,Status Date,In Court Link
"Tennessee","S.B.2118","Healthcare funding restrictions | Healthcare restrictions | ","Introduced","","01/22/2026",""
"South Dakota","H.B.1153","Healthcare restrictions | Other healthcare barriers | Religious exemptions | Weakening Civil Rights Laws","Advancing","House first read and referred to committee","01/27/2026",""
"South Dakota","S.B.190","Curriculum censorship | Forced outing in schools | Other school restrictions | Restricting student & educator rights","Advancing","Senate first read and referred to committee","01/29/2026",""
"Rhode Island","S.B.2293","Restricting student & educator rights | School sports bans","Advancing","Referred to Senate committee","01/23/2026",""
"New Mexico","H.B. 233","Restricting student & educator rights | School sports bans","Introduced","","01/29/2026",""
"New Jersey","A.1847","Healthcare age restrictions | Healthcare restrictions | ","Advancing","Referred to Assembly committee","01/13/2026",""
"New Jersey","A.673","Restricting student & educator rights | School sports bans","Advancing","Referred to Assembly committee","01/13/2026",""
"New Jersey","A.1605","Curriculum censorship | Restricting student & educator rights","Advancing","Referred to Assembly committee","01/13/2026",""
"New Jersey","A.3021","Curriculum censorship | Restricting student & educator rights","Advancing","Referred to Assembly committee","01/13/2026",""
"Mississippi","S.B. 2719","Drag bans | Free speech & expression bans | ","Advancing","Referred to Senate committee","01/19/2026",""
"Mississippi","S.B. 2342","Public accommodation bans | Restricting student & educator rights | School facilities bans","Advancing","Referred to Senate committee","01/19/2026",""
"Mississippi","S.B. 2735","Healthcare funding restrictions | Healthcare restrictions | ","Advancing","Referred to Senate committee","01/19/2026",""
"Michigan","H.B.5491","Other anti-LGBTQ bills","Advancing","House first read and referred to committee","01/29/2026",""
"Kansas","S.B.244","Barriers to accurate IDs | Public accommodation bans | Re-definition of sex | Restricting student & educator rights | School facilities bans | Weakening Civil Rights Laws","Advancing","House passed substitute bill as amended; Senate concurred","01/28/2026",""
"Hawaii","H.B.2513","Healthcare age restrictions | Healthcare restrictions | ","Advancing","House first read","01/28/2026",""
"Maryland","H.B.0063","Restricting student & educator rights | School facilities bans | School sports bans","Advancing","House hearing","02/05/2026",""
"Kentucky","H.B.334","Other civil rights restrictions | Re-definition of sex | Weakening Civil Rights Laws","Advancing","Referred to House committee","01/21/2026",""
"Iowa","S.F.2003","Curriculum censorship | Restricting student & educator rights","Advancing","Reported favorably by Senate subcommittee","01/21/2026",""
"Florida","H.B. 743","Healthcare age restrictions | Healthcare restrictions | ","Advancing","House first read as substituted and referred to subcommittee","01/21/2026",""
"Arizona","H.C.R.2003","Restricting student & educator rights | School facilities bans | School sports bans","Advancing","Reported favorably by House committee","01/20/2026",""
"Arizona","H.B.2589","Drag bans | Free speech & expression bans | ","Advancing","House second read","01/21/2026",""
"Arizona","S.B.1177","Healthcare funding restrictions | Healthcare restrictions | ","Advancing","Senate second read","01/21/2026",""
"Arizona","H.B.2085","Healthcare age restrictions | Healthcare restrictions | ","Advancing","Reported favorably by House committee","01/22/2026",""
"West Virginia","H.B.4171","Barriers to accurate IDs | ","Advancing","Referred to House committee","01/14/2026",""
"West Virginia","S.B.507","Healthcare restrictions | Other healthcare barriers","Advancing","Referred to Senate committee","01/19/2026",""
"Utah","S.B.174","Healthcare restrictions | Other healthcare barriers | Religious exemptions | Weakening Civil Rights Laws","Advancing","Senate first read and referred to committee","01/06/2026",""
"South Carolina","S.B.0840","Curriculum censorship | Forced outing in schools | Restricting student & educator rights","Advancing","Senate first read and referred to committee","01/21/2026",""
"Mississippi","H.B. 1200","Restricting student & educator rights | School facilities bans","Advancing","Referred to House committee","01/19/2026",""
"Mississippi","S.B. 2602","Curriculum censorship | Other school restrictions | Restricting student & educator rights","Advancing","Referred to House committee","01/19/2026",""
"Mississippi","S.B. 2345","Restricting student & educator rights | School facilities bans","Advancing","Referred to House committee","01/19/2026",""
"Mississippi","S.B. 2525","Curriculum censorship | Restricting student & educator rights","Advancing","Referred to House committee","01/19/2026",""
"Mississippi","H.B. 1659","Curriculum censorship | Other school restrictions | Restricting student & educator rights","Advancing","Referred to House committee","01/19/2026",""
"Mississippi","H.B. 1309","Forced outing in schools | Other school restrictions | Restricting student & educator rights","Advancing","Referred to House committee","01/19/2026",""
"Mississippi","H.B. 1072","Healthcare restrictions | Other healthcare barriers","Advancing","Reported favorably by House committee","01/22/2026",""
"Iowa","H.F.2121","Curriculum censorship | Restricting student & educator rights","Advancing","House subcommittee hearing","01/27/2026",""
"Illinois","H.B.4482","Healthcare age restrictions | Healthcare restrictions | ","Advancing","House first read and referred to committee","01/20/2026",""
"Delaware","S.B. 215","Restricting student & educator rights | School sports bans","Advancing","Referred to Senate committee","01/08/2026",""
"West Virginia","H.B.4083","Healthcare restrictions | Other healthcare barriers","Advancing","Referred to House committee","01/14/2026",""
"West Virginia","H.B.4143","Other anti-LGBTQ bills | Other civil rights restrictions | Re-definition of sex | Weakening Civil Rights Laws","Advancing","Referred to House committee","01/14/2026",""
"West Virginia","H.B.4356","Healthcare restrictions | Other healthcare barriers","Advancing","Referred to House committee","01/15/2026",""
"Washington","S.B. 6191","Healthcare age restrictions | Healthcare restrictions | ","Advancing","House first read and referred to committee","01/16/2026",""
"Virginia","H.B. 532","Forced outing in schools | Healthcare restrictions | Other healthcare barriers | Other school restrictions | Restricting student & educator rights","Advancing","Referred to House committee","01/15/2026",""
"Utah","H.B.183","Barriers to accurate IDs | Healthcare restrictions | Other anti-LGBTQ bills | Other civil rights restrictions | Other healthcare barriers | Re-definition of sex | Restricting student & educator rights | School facilities bans | Weakening Civil Rights Laws","Introduced","Pre-filed","01/20/2026",""
"Utah","H.B.95","Other school restrictions | Religious exemptions | Restricting student & educator rights | Weakening Civil Rights Laws","Introduced","Pre-filed","01/20/2026",""
"Tennessee","H.B.1474","Free speech & expression bans | Other expression restrictions","Advancing","Passed on second consideration and assigned to House subcommittee","01/14/2026",""
"South Carolina","S.B.0733","Drag bans | Free speech & expression bans | ","Advancing","Senate first read and referred to committee","01/13/2026",""
"Pennsylvania","H.B.1956","Other civil rights restrictions | Weakening Civil Rights Laws","Introduced","Carried over","01/06/2026",""
"Oklahoma","S.B.1866","Curriculum censorship | Restricting student & educator rights","Advancing","Pre-filed, first reading scheduled","02/02/2026",""
"Oklahoma","S.B.1793","Healthcare funding restrictions | Healthcare restrictions | ","Advancing","Pre-filed, first reading scheduled","02/02/2026",""
"Oklahoma","H.B.3130","Healthcare age restrictions | Healthcare funding restrictions | Healthcare restrictions | Other healthcare barriers","Advancing","Pre-filed, first reading scheduled","02/02/2026",""
"Oklahoma","H.B.3136","Healthcare restrictions | Other healthcare barriers | Religious exemptions | Weakening Civil Rights Laws","Advancing","Pre-filed, first reading scheduled","02/02/2026",""
"Oklahoma","H.B.3138","Other school restrictions | Restricting student & educator rights","Advancing","Pre-filed, first reading scheduled","02/02/2026",""
"Oklahoma","H.B.3242","Public accommodation bans | Restricting student & educator rights | School facilities bans","Advancing","Pre-filed, first reading scheduled","02/02/2026",""
"Oklahoma","H.B.3586","Healthcare restrictions | Other healthcare barriers","Advancing","Pre-filed, first reading scheduled","02/02/2026",""
"Oklahoma","H.B.3502","Healthcare restrictions | Other healthcare barriers","","","",""
"Oklahoma","H.B.3798","Healthcare funding restrictions | Healthcare restrictions | ","Advancing","Pre-filed, first reading scheduled","02/02/2026",""
"Oklahoma","H.B.3132","Other school restrictions | Restricting student & educator rights","Advancing","Pre-filed, first reading scheduled","02/02/2026",""
"New Jersey","S.856","Restricting student & educator rights | School sports bans","Advancing","Referred to Senate committee","01/13/2026",""
"New Hampshire","S.B.459","Other anti-LGBTQ bills | Restricting student & educator rights | School facilities bans | School sports bans","Advancing","Referred to Senate committee","01/07/2026",""
"New Hampshire","S.B.552","Other civil rights restrictions | Weakening Civil Rights Laws","Advancing","Referred to Senate committee","01/07/2026",""
"New Hampshire","H.B.1299","Other civil rights restrictions | Weakening Civil Rights Laws","Advancing","Referred to House committee","01/07/2026",""
"New Hampshire","H.B.1217","Other civil rights restrictions | Weakening Civil Rights Laws","","","",""
"New Hampshire","H.B.1376","Healthcare restrictions | Other anti-LGBTQ bills | Other healthcare barriers","Advancing","House referred to committee","01/07/2026",""
"New Hampshire","H.B.1442","Other anti-LGBTQ bills | Other civil rights restrictions | Public accommodation bans | Re-definition of sex | Restricting student & educator rights | School facilities bans | Weakening Civil Rights Laws","Advancing","House referred to committee","12/04/2025",""
"New Hampshire","H.B.1447","Other anti-LGBTQ bills | Other civil rights restrictions | Public accommodation bans | Re-definition of sex | Restricting student & educator rights | School facilities bans | Weakening Civil Rights Laws","Advancing","Referred to House committee","01/07/2026",""
"New Hampshire","H.B.1564","Other civil rights restrictions | Weakening Civil Rights Laws","Advancing","House referred to committee","01/07/2026",""
"Nebraska","L.B.731","Healthcare restrictions | Other healthcare barriers","Advancing","Senate committee hearing","01/29/2026",""
"Missouri","H.B. 2076","Barriers to accurate IDs | ","Advancing","House second read","01/08/2026",""
"Missouri","H.B. 2973","Restricting student & educator rights | School facilities bans | School sports bans","Advancing","House second read","01/15/2026",""
"Missouri","S.B. 1085","Curriculum censorship | Forced outing in schools | Other school restrictions | Restricting student & educator rights | School facilities bans | School sports bans","Advancing","Senate second read and referred to committee","01/15/2026",""
"Missouri","S.B. 1028","Re-definition of sex | Restricting student & educator rights | School sports bans | Weakening Civil Rights Laws","Advancing","Senate second read and referred to committee","01/15/2026",""
"Missouri","S.B. 1476","Drag bans | Free speech & expression bans | ","Advancing","Senate first read","01/07/2026",""
"Missouri","S.B. 1141","Religious exemptions | Weakening Civil Rights Laws","Advancing","Senate second read and referred to committee","01/15/2026",""
"Missouri","H.B. 2407","Drag bans | Free speech & expression bans | ","Advancing","House second read","01/08/2026",""
"Missouri","H.B. 1779","Re-definition of sex | Weakening Civil Rights Laws","Advancing","Senate second read","01/08/2026",""
"Missouri","H.B. 2565","Restricting student & educator rights | School sports bans","Advancing","House second read","01/08/2026",""
"Missouri","H.B. 2548","Other anti-LGBTQ bills","Advancing","House second read","01/08/2026",""
"Missouri","H.B. 2536","Other school restrictions | Public accommodation bans | Restricting student & educator rights | School facilities bans | School sports bans","Advancing","House referred to committee","01/15/2026",""
"Missouri","S.B. 1010","Healthcare restrictions | Other healthcare barriers","Advancing","Senate second read and referred to committee","01/08/2026",""
"Missouri","H.B. 2580","Curriculum censorship | Forced outing in schools | Other school restrictions | Restricting student & educator rights | School facilities bans | School sports bans","Advancing","House second read and referred to committee","01/08/2026",""
"Missouri","H.B. 2075","Public accommodation bans | Restricting student & educator rights | School facilities bans","Advancing","House second read and referred to committee","01/08/2026",""
"Missouri","H.B. 1702","Drag bans | Free speech & expression bans | ","Advancing","House second read","01/08/2026",""
"Mississippi","H.B. 866","Healthcare restrictions | Other healthcare barriers","Advancing","House referred to committee","01/16/2026",""
"Kentucky","H.B.170","Religious exemptions | Weakening Civil Rights Laws","Advancing","Referred to House committee","01/14/2026",""
"Kansas","H.B.2426","Barriers to accurate IDs | Other anti-LGBTQ bills | Re-definition of sex | Weakening Civil Rights Laws","Advancing","House committee meeting","01/13/2026",""
"Indiana","S.B.0215","Barriers to accurate IDs | Curriculum censorship | Other anti-LGBTQ bills | Other school restrictions | Public accommodation bans | Re-definition of sex | Restricting student & educator rights | School facilities bans | Weakening Civil Rights Laws","Advancing","Senate first read and referred to committee","01/08/2026",""
"Indiana","S.B.0174","Healthcare restrictions | Other healthcare barriers | Religious exemptions | Weakening Civil Rights Laws","Advancing","First read and referred to committee","01/12/2026",""
"Indiana","H.B.1316","Religious exemptions | Weakening Civil Rights Laws","Advancing","First read and referred to committee","01/06/2026",""
"Indiana","H.B.1427","Healthcare restrictions | Other healthcare barriers","Advancing","First read and referred to committee","01/08/2026",""
"Indiana","H.B.1362","Other anti-LGBTQ bills | Public accommodation bans | Restricting student & educator rights | School facilities bans","Advancing","House first read and referred to committee","01/08/2026",""
"Illinois","H.B.4241","Other school restrictions | Restricting student & educator rights","Advancing","House first read and referred to committee","01/14/2026",""
"Florida","H.B. 347","Free speech & expression bans | Other expression restrictions | Other school restrictions | Restricting student & educator rights","Advancing","House first read","01/13/2026",""
"Florida","S.B. 426","Free speech & expression bans | Other expression restrictions | Other school restrictions | Restricting student & educator rights","Introduced","","01/13/2026",""
"Florida","H.B. 641","Other anti-LGBTQ bills | Religious exemptions | Weakening Civil Rights Laws","Advancing","House first read","01/13/2026",""
"Florida","H.B. 1001","Other anti-LGBTQ bills","Advancing","House first read","01/13/2026",""
"Florida","H.B. 1227","Religious exemptions | Weakening Civil Rights Laws","Advancing","Referred to House subcommittee","01/15/2026",""
"Florida","H.B. 1329","Other anti-LGBTQ bills","Advancing","Referred to House subcommittee","01/15/2026",""
"Connecticut","S.B.872","Restricting student & educator rights | School sports bans","Introduced","Pre-filed","02/04/2026",""
"Arizona","S.B.1094","Healthcare restrictions | Other healthcare barriers","Advancing","Senate second read","01/14/2026",""
"Arizona","S.B.1099","Healthcare restrictions | Other healthcare barriers","Advancing","Senate second read","01/14/2026",""
"Alabama","H.B.23","Curriculum censorship | Free speech & expression bans | Other expression restrictions | Other school restrictions | Restricting student & educator rights","Advancing","House first read and referred to committee","01/13/2026",""
"Wisconsin","S.B.40","Free speech & expression bans | Other expression restrictions | Other school restrictions | Restricting student & educator rights","Introduced","Carried over","01/13/2026",""
"Wisconsin","A.B.100","Restricting student & educator rights | School facilities bans | School sports bans","Advancing","Passed House; Senate committee recommended concurrence and made available for scheduling","01/16/2026",""
"Wisconsin","A.B.102","Restricting student & educator rights | School facilities bans | School sports bans","Advancing","Passed House; Senate committee recommended concurrence and made available for scheduling","01/16/2026",""
"Wisconsin","A.B.104","Healthcare age restrictions | Healthcare restrictions | ","Advancing","Passed House; Senate committee recommended concurrence and made available for scheduling","01/16/2026",""
"Wisconsin","S.B.157","Healthcare age restrictions | Healthcare restrictions | ","Introduced","Carried over","01/13/2026",""
"Wisconsin","A.B.58","Free speech & expression bans | Other expression restrictions | Other school restrictions | Restricting student & educator rights","Introduced","Carried over","01/13/2026",""
"Wisconsin","S.B.312","Barriers to accurate IDs | ","Introduced","Carried over","01/13/2026",""
"Wisconsin","S.B.405","Healthcare restrictions | Other healthcare barriers","Introduced","Carried over","01/13/2026",""
"Wisconsin","A.B.103","Other school restrictions | Restricting student & educator rights","Advancing","House passed; Senate committee recommended concurrence and made available for scheduling","01/09/2026",""
"Wisconsin","A.B.124","Barriers to accurate IDs | ","Advancing","House laid on the table","01/13/2026",""
"Wisconsin","S.B.117","Restricting student & educator rights | School facilities bans | School sports bans","Advancing","Senate amendment offered","01/08/2026",""
"Wisconsin","A.B.311","Barriers to accurate IDs | ","Advancing","Reported favorably by Assembly committee as amended and re-referred to committee","01/15/2026",""
"Wisconsin","A.B.400","Healthcare restrictions | Other healthcare barriers","Advancing","Reported favorably by Assembly committee and re-referred to committee","01/15/2026",""
"Wisconsin","S.B.116","Restricting student & educator rights | School facilities bans | School sports bans","Advancing","Senate amendment offered","01/08/2026",""
"Wisconsin","S.B.146","Barriers to accurate IDs | ","Advancing","Passed Senate and House; reported correctly enrolled","01/15/2026",""
"Wisconsin","S.B.120","Other school restrictions | Restricting student & educator rights","Advancing","Reported favorably as amended by Senate committee and available for scheduling","01/09/2026",""
"West Virginia","S.B.278","Drag bans | Free speech & expression bans | ","Introduced","Carried over","01/14/2026",""
"West Virginia","S.B.207","Drag bans | Free speech & expression bans | ","Introduced","Carried over","01/14/2026",""
"West Virginia","H.B.2127","Public accommodation bans | Re-definition of sex | Restricting student & educator rights | School facilities bans | Weakening Civil Rights Laws","Introduced","Carried over","01/14/2026",""
"West Virginia","H.B.2153","Religious exemptions | Weakening Civil Rights Laws","Introduced","Carried over","01/14/2026",""
"West Virginia","S.B.244","Public accommodation bans | Re-definition of sex | Restricting student & educator rights | School facilities bans | Weakening Civil Rights Laws","Introduced","Carried over","01/14/2026",""
"West Virginia","H.B.2071","Forced outing in schools | Restricting student & educator rights","Introduced","Carried over","01/14/2026",""
"West Virginia","S.B.279","Healthcare age restrictions | Healthcare restrictions | ","Introduced","Carried over","01/14/2026",""
"West Virginia","S.B.276","Drag bans | Free speech & expression bans | ","Introduced","Carried over","01/14/2026",""
"West Virginia","S.B.431","Drag bans | Free speech & expression bans | ","Introduced","Carried over","01/14/2026",""
"West Virginia","S.B.424","Other anti-LGBTQ bills | Other school restrictions | Restricting student & educator rights","Introduced","Carried over","01/14/2026",""
"West Virginia","H.B.2375","Healthcare restrictions | Other healthcare barriers","Introduced","Carried over","01/14/2026",""
"West Virginia","H.B.2072","Healthcare restrictions | Other healthcare barriers | Religious exemptions | Weakening Civil Rights Laws","Introduced","Carried over","01/14/2026",""
"West Virginia","S.B.507","Drag bans | Free speech & expression bans | ","Introduced","Carried over","01/14/2026",""
"West Virginia","H.B.2403","Healthcare age restrictions | Healthcare restrictions | ","Introduced","Carried over","01/14/2026",""
"West Virginia","H.B.2466","Healthcare age restrictions | Healthcare restrictions | ","Introduced","Carried over","01/14/2026",""
"West Virginia","H.B.2574","Other anti-LGBTQ bills","Introduced","Carried over","01/14/2026",""
"West Virginia","H.B.2005","Other school restrictions | Restricting student & educator rights","Introduced","Carried over","01/14/2026",""
"West Virginia","H.B.2526","Restricting student & educator rights | School facilities bans","Introduced","Carried over","01/14/2026",""
"West Virginia","H.B.2033","Religious exemptions | Weakening Civil Rights Laws","Introduced","Carried over","01/14/2026",""
"West Virginia","H.B.2962","Barriers to accurate IDs | ","Introduced","Carried over","01/14/2026",""
"West Virginia","H.B.2006","Other anti-LGBTQ bills | Re-definition of sex | Restricting student & educator rights | School facilities bans | Weakening Civil Rights Laws","Introduced","Carried over","01/14/2026",""
"West Virginia","H.B.3319","Other anti-LGBTQ bills | Other school restrictions | Restricting student & educator rights","Introduced","Carried over","01/14/2026",""
"West Virginia","S.B.841","Curriculum censorship | Healthcare funding restrictions | Healthcare restrictions | Other anti-LGBTQ bills | Restricting student & educator rights","Introduced","Carried over","01/14/2026",""
"West Virginia","S.B.663","Other anti-LGBTQ bills","Introduced","Carried over","01/14/2026",""
"Washington","S.B. 5136","Other school restrictions | Religious exemptions | Restricting student & educator rights | Weakening Civil Rights Laws","Advancing","Reintroduced, first read, and referred to House committee","01/12/2026",""
"Washington","H.B. 1038","Healthcare age restrictions | Healthcare restrictions | ","Advancing","Reintroduced, first read, and referred to House committee","01/12/2026",""
"Washington","H.B. 1027","Other anti-LGBTQ bills","Advancing","Reintroduced, first read, and referred to House committee","01/12/2026",""
"Washington","H.B. 1699","Restricting student & educator rights | School sports bans","Advancing","By resolution, reintroduced and retained in present status.","01/12/2026",""
"Tennessee","H.B.0315","Other anti-LGBTQ bills","Introduced","Carried over","01/13/2026",""
"Tennessee","S.B.0737","Other anti-LGBTQ bills","Introduced","Carried over","01/13/2026",""
"Tennessee","S.B.1126","Other school restrictions | Restricting student & educator rights","Introduced","Carried over","01/13/2026",""
"Tennessee","H.B.1262","Other school restrictions | Restricting student & educator rights","Introduced","Carried over","01/13/2026",""
"Tennessee","H.B.0754","Healthcare restrictions | Other healthcare barriers","Introduced","Carried over","01/13/2026",""
"Tennessee","S.B.0936","Re-definition of sex | Weakening Civil Rights Laws","Introduced","Carried over","01/13/2026",""
"Tennessee","H.B.1044","Healthcare restrictions | Other healthcare barriers | Religious exemptions | Weakening Civil Rights Laws","Introduced","Carried over","01/13/2026",""
"Tennessee","S.B.1252","Other school restrictions | Restricting student & educator rights","Introduced","Carried over","01/13/2026",""
"Tennessee","H.B.0571","Other anti-LGBTQ bills | Other civil rights restrictions | Re-definition of sex | Restricting student & educator rights | School facilities bans | Weakening Civil Rights Laws","Introduced","Carried over","01/13/2026",""
"Tennessee","S.B.0676","Healthcare restrictions | Other healthcare barriers","Introduced","Carried over","01/13/2026",""
"Tennessee","S.B.0468","Other anti-LGBTQ bills | Other civil rights restrictions | Re-definition of sex | Restricting student & educator rights | School facilities bans | Weakening Civil Rights Laws","Introduced","Carried over","01/13/2026",""
"South Carolina","H.B.3433","Other anti-LGBTQ bills","Introduced","Carried over","01/13/2026",""
"South Carolina","S.B.0162","Barriers to accurate IDs | ","Introduced","Carried over","01/13/2026",""
"South Carolina","H.B.3095","Barriers to accurate IDs | ","Introduced","Carried over","01/13/2026",""
