legislation-tracker_2020
State,Bill Name,Issues,Status,Status Detail,Status Date,In Court Link
Missouri,SB 761,Religious exemptions |  Religious Exemptions in Schools and Student Organizations,Introduced,Referred to committee,02/13/2020,
Missouri,HB 2572,Other religious exemption bills ,Introduced,Referred to committee,03/01/2020,
Missouri,HB 1527,LGBTQ Equality Bills | Nondiscrimination protections,Introduced,,01/18/2020,
Missouri,HB 1677,LGBTQ Equality Bills | Other good bills ,Introduced,Read second time,01/09/2020,
Mississippi,SB 2490,Anti-Trans bills | Prohibiting heathcare for transgender youth,Defeated,Dead,03/03/2020,
Mississippi,SB 2240,Anti-Trans bills | Single-Sex Facility Restrictions,Defeated,Died in committee,03/03/2020,
Mississippi,SB 2240,Anti-Trans bills | Excluding transgender youth from athletics,Defeated,Died in committee,3/3/2020,
Mississippi,HB 710,LGBTQ Equality Bills | Nondiscrimination protections,Defeated,Died in committee,03/03/2020,
Mississippi,HB 765,LGBTQ Equality Bills | Nondiscrimination protections,Defeated,Died in committee,03/03/2020,
Oklahoma,SB 1515,Religious exemptions | Religious Exemptions in Healthcare Implicating LGBTQ People,Introduced,Referred to committee,02/06/2020,
Oklahoma,SB 1819,Anti-Trans bills | Prohibiting heathcare for transgender youth,Introduced,Referred to committee,02/10/2020,
South Carolina,H. 4716,Religious exemptions | Weakening Civil Rights Laws,Introduced,Referred to committee,01/14/2020,
South Carolina,S 1087,Anti-Trans bills | Excluding transgender youth from athletics,Introduced,Referred to committee,02/06/2020,
South Carolina,H 3239,LGBTQ Equality Bills | Nondiscrimination protections,Active,Carried over,1/8/19,
South Dakota,HB 1057,Anti-Trans bills | Prohibiting heathcare for transgender youth,Introduced,Passed House; Deferred,2/10/2020,
South Dakota,SB 93,Anti-Trans bills | Prohibiting heathcare for transgender youth,Introduced,Withdrawn,02/04/2020,
South Dakota,HB 1215,Other Anti-LGBTQ Bills,Introduced,Withdrawn,02/24/2020,
South Dakota,SB 109,Religious exemptions | Religious Exemptions in Healthcare Implicating LGBTQ People,Introduced,Passed by Senate ,02/24/2020,
South Dakota,HB 1215,Other anti-LGBTQ bills,Introduced,Withdrawn,02/24/2020,
Tennessee,HB 2576,Anti-Trans bills | Prohibiting heathcare for transgender youth,Introduced,Hearing Scheduled ,3/17/2020,
Tennessee,SB 2215,Anti-Trans bills | Prohibiting heathcare for transgender youth,Introduced,Referred to committee,02/10/2020,
Tennessee,SB 1499,Anti-Trans bills | Single-Sex Facility Restrictions,Introduced,Carried over,05/01/2019,
Tennessee,HB 1247,Anti-Trans bills | Single-Sex Facility Restrictions,Introduced,Carried over,05/01/2019,
Tennessee,SB 2077/HB 1572,Anti-Trans bills | Excluding transgender youth from athletics,Introduced,Hearing Cancelled ,03/17/2020,
Tennessee,SB 1034,Religious exemptions | Religious Exemptions in Adoption & Foster Care,Introduced,House bill substituted; signed by governor,01/23/2020,
Tennessee,HB 836,Religious exemptions | Religious Exemptions in Adoption & Foster Care,Introduced,Signed by governor; published ,02/18/2020,
Tennessee,SB 364,Religious exemptions | Other Religious Exemption Bills ,Introduced,Referred to committee,02/19/2020,
Tennessee,SB 2625/HB 2410,Religious exemptions | Other Religious Exemption Bills ,Introduced,Hearing Cancelled ,03/18/2020,
Tennessee,HB 2140/SB 2625,Other Anti-LGBTQ Bills,Introduced,Hearing Scheduled ,03/11/2020,
Utah,HB 449,Anti-Trans bills | Prohibiting heathcare for transgender youth,Introduced,Filed for bills not passed ,03/12/2020,
Arizona,HB 2706,Anti-Trans bills | Excluding transgender youth from athletics,Introduced,Transmitted to Senate ,03/04/2020,
Arizona,HB 2082,Other anti-LGBTQ bills,Introduced,Prefiled ,01/02/2020,
Arizona,HB 2361,Other anti-LGBTQ bills,Introduced,Referred to committee,01/29/2020,
Arizona,SB 1082,Other anti-LGBTQ bills,Introduced,,01/08/2020,
Arizona,HB 2335,LGBTQ Equality Bills | Nondiscrimination protections,Introduced,,01/13/2020,
Arizona,HB 2867,LGBTQ Equality Bills | Allowing updated gender markers on ID,Introduced,Referred to committee,02/12/2020,
Louisiana,SB 172,Anti-Trans bills | Excluding transgender youth from athletics,Introduced,Referred to committee,03/09/2020,
Louisiana,SB 49,LGBTQ Equality Bills | Nondiscrimination protections,Introduced,Referred to committee,03/09/2020,
Pennsylvania ,HB 2144,Other Anti-LGBTQ Bills,Introduced,Referred to committee,12/18/2019,
Pennsylvania ,HB 1404,LGBTQ Equality Bills | Nondiscrimination protections,Introduced,Carried over,05/22/2019,
Pennsylvania ,SB 614,LGBTQ Equality Bills | Nondiscrimination protections,Introduced,Carried over,02/05/2020,
Virginia,SB 868 ,LGBTQ Equality Bills | Nondiscrimination protections,Introduced,Enrolled bill sent to Governor,03/12/2020,
Virginia,HB 23,LGBTQ Equality Bills | Nondiscrimination protections,Introduced,Incorporated by HB 1663 by voice vote ,01/28/2020,
Virginia,HB 1049,LGBTQ Equality Bills | Nondiscrimination protections,Introduced,Signed by speaker and president ,03/19/2020,
Virginia,HB 1663,LGBTQ Equality Bills | Nondiscrimination protections,Introduced,Failed in House w/ Amendment; passed in Senate committee,03/02/2020,
Virginia,HB 1429,LGBTQ Equality Bills | Protections in healthcare ,Introduced,Enrolled bill sent to Governor,03/17/2020,
Virginia,SB 246,LGBTQ Equality Bills | Allowing updated gender markers on ID,Introduced,Enrolled bill sent to Governor,03/12/2020,
Virginia,SB 657,LGBTQ Equality Bills | Allowing updated gender markers on ID,Introduced,Enrolled bill sent to Governor,03/12/2020,
Virginia,HB 1041,LGBTQ Equality Bills | Allowing updated gender markers on ID,Introduced,Enrolled bill sent to Governor,03/12/2020,
Virginia,HB 1051,LGBTQ Equality Bills | Other good bills ,Introduced,Left in committee,02/11/2020,
Virginia,SB 161,LGBTQ Equality Bills | Other good bills ,Introduced,Approved by Governor ,03/04/2020,
Indiana,HB 1088,Anti-Trans bills | Excluding transgender youth from athletics,Introduced,Referred to committee,01/16/2020,
Indiana,SB 74,Anti-Trans bills | Restrictions on Identification Documents,Introduced,Referred to committee,01/09/2020,
Indiana,HB 1416,Religious exemptions |  Religious Freedom Restoration Acts (RFRAs),Introduced,Referred to committee,01/05/2020,
Indiana,SB 300,Religious exemptions | Religious Exemptions in Healthcare Implicating LGBTQ People,Introduced,Referred to committee,01/09/2020,
Indiana,SB 137,LGBTQ Equality Bills | Nondiscrimination protections,Introduced,Referred to committee,01/09/2020,
Hawaii,SB 568,LGBTQ Equality Bills | Allowing updated gender markers on ID,Introduced,Referred to committee,03/09/2020,
Alaska ,SB 7,Other Anti-LGBTQ Bills,Introduced,Active; Carried over ,02/20/2019,
Alaska ,SB 82,LGBTQ Equality Bills | Nondiscrimination protections,Introduced,Active; Carried over ,04/24/2019,
Alabama ,SB 219,Anti-Trans bills | Prohibiting heathcare for transgender youth,Introduced,Referred to committee,03/10/2020,
Alabama ,HB 303,Anti-Trans bills | Prohibiting heathcare for transgender youth,Introduced,,02/27/2020,
Alabama ,HB 20,Anti-Trans bills | Excluding transgender youth from athletics,Introduced,Referred to committee,02/11/2020,
Alabama ,HB 35,Anti-Trans bills | Excluding transgender youth from athletics,Introduced,Passed in committee,02/20/2020,
Maryland ,SB 738,LGBTQ Equality Bills | Protections in healthcare ,Introduced,Hearing Scheduled ,02/26/2020,
Kansas ,HB 2589,Anti-Trans bills | Excluding transgender youth from athletics,Introduced,Referred to committee,02/07/2020,
Massachusetts ,H. 1392,Other religious exemption bills ,Introduced,Carried over,06/07/2020,
Illinois ,HB 4645,Other Anti-Trans Bills ,,,,
Connecticut,HB 5290,LGBTQ Equality Bills | Allowing updated gender markers on ID,Introduced,Hearing Scheduled ,03/09/2020,
Wisconsin,SB 308,LGBTQ Equality Bills | Nondiscrimination protections,Introduced,Carried over,6/28/19,
Nebraska ,LB 627,LGBTQ Equality Bills | Nondiscrimination protections,Introduced,Prioritized ,02/19/2020,
New Hampshire ,SB 480,Anti-Trans bills | Excluding transgender youth from athletics,Introduced,Died in committee,03/10/2020,
New Hampshire ,HB 1251,Anti-Trans bills | Excluding transgender youth from athletics,Introduced,Died in committee,03/12/2020,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Data is current as of December 21 2023,,,,,,
