State,Bill Name,Issues,Status ,Status Date ,In Court Link
RI,S 2501,Excluding transgender youth from athletics ,Dead,6/23/22,
SC,SB 531,Excluding transgender youth from athletics ,Dead,5/12/22,
SC,HB 4608,Excluding transgender youth from athletics ,Signed by Governor ,5/16/22,
SC,HB 3477,Excluding transgender youth from athletics ,Dead,5/12/22,
SD,HB 1006,Excluding transgender youth from athletics ,Withdrawn ,2/7/22,
SD,SB 46,Excluding transgender youth from athletics ,Signed by Governor ,2/3/22,
TN,HB 1894,Excluding transgender youth from athletics ,Withdrawn from subcomittee,1/31/22,
TN,SB 1862,Excluding transgender youth from athletics ,Dead,4/28/22,
TN,SB 2153,Excluding transgender youth from athletics ,Signed by Governor ,5/6/22,
TN,HB 2316,Excluding transgender youth from athletics ,Companion bill substituted ,4/25/22,
TN,HB 1895,Excluding transgender youth from athletics ,Signed by Governor ,4/22/22,
TN,SB 1861,Excluding transgender youth from athletics ,Companion house bill substitued ,4/11/22,
UT,HB 11,Excluding transgender youth from athletics ,Legislature Overrides Governor's veto,3/25/22,
UT,HB 3002,Excluding transgender youth from athletics ,Dead,3/4/22,
VA ,SB 766,Excluding transgender youth from athletics ,Dead,3/12/22,
WI,AB 195,Excluding transgender youth from athletics ,Failed to concur ,3/15/22,
WI,SB 323,Excluding transgender youth from athletics ,Failed to pass,3/15/22,
WI,AB 196,Excluding transgender youth from athletics ,Failed to concur ,3/15/22,
WI,SB 322,Excluding transgender youth from athletics ,Failed to pass,3/15/22,
WV,HB 2141,Excluding transgender youth from athletics ,Dead,3/12/22,
WV,HB 2676,Excluding transgender youth from athletics ,Dead,3/12/22,
WV,HB 2734,Excluding transgender youth from athletics ,Dead,3/12/22,
WV,SB 341,Excluding transgender youth from athletics ,Dead,3/12/22,
WY,SF 0051,Excluding transgender youth from athletics ,Dead,3/11/22,
AL,HB 322,Other school or curriculum restrictions,Delivered to Governor,4/7/22,
AZ,HB 2011,Other school or curriculum restrictions,Dead,6/25/22,
AZ,SB 1045,Other school or curriculum restrictions,Dead,6/25/22,
AZ,HB 2161,Other school or curriculum restrictions,Signed by Governor ,4/29/22,
AZ,HB 2285,Other school or curriculum restrictions,Dead,6/25/22,
FL,SB 1834,Other school or curriculum restrictions,Dead,3/14/22,
FL,HB 1557,Other school or curriculum restrictions,Signed by Governor ,4/29/22,
FL,HB 7,Other school or curriculum restrictions,Signed by Governor ,4/22/22,
GA,HB 1158,Other school or curriculum restrictions,Dead ,4/4/22,
IA,SF 2024,Other school or curriculum restrictions,Dead,5/24/22,
IA,HF 2054,Other school or curriculum restrictions,Dead,5/24/22,
IA,HF 2053,Other school or curriculum restrictions,Dead,5/24/22,
IL,HB 5505,Other school or curriculum restrictions,Dead,4/9/22,
IN,HB 1040,Other school or curriculum restrictions,Dead,3/14/22,
IN,HB 1228,Other school or curriculum restrictions,Dead,3/14/22,
IN,HB 1231,Other school or curriculum restrictions,Dead,3/14/22,
KY,HB 14,Other school or curriculum restrictions,Dead,4/14/22,
LA,HB 570,Other school or curriculum restrictions,Dead,6/6/22,
MI,HB 6503,Other school or curriculum restrictions,"Introduced, read for the first time, and referred to committee",11/29/22,
MI,HB 6306,Other school or curriculum restrictions,"Introduced, read for the first time, and referred to committee",6/30/22,
MS,SB 2679,Other school or curriculum restrictions,Died in committee,2/1/22,
MS,SB 2881,Other school or curriculum restrictions,Died in committee,2/1/22,
MO,HB 1755,Other school or curriculum restrictions,Dead,5/13/22,
MO,SB 645,Other school or curriculum restrictions,Dead,5/13/22,
MO,HB 2189,Other school or curriculum restrictions,Dead,5/13/22,
MO,SB 22,Other school or curriculum restrictions,Dead,10/4/22,
NJ,A 1418,Other school or curriculum restrictions,Introduced and Referred to Committee,1/11/22,
NJ,S 585,Other school or curriculum restrictions,Introduced and Referred to Committee,1/11/22,
NC,H 755,Other school or curriculum restrictions,Dead,7/1/22,
OK,SB 1142,Other school or curriculum restrictions,Dead,5/27/22,
OK,SB 1654,Other school or curriculum restrictions,Dead,5/27/22,
OK,HB 1888,Other school or curriculum restrictions,Dead,5/27/22,
OK,SB 627,Other school or curriculum restrictions,Dead ,5/27/22,
PA,HB 2813,Other school or curriculum restrictions,Dead,11/30/22,
PA,SB 1278,Other school or curriculum restrictions,Dead,11/30/22,
RI,H 7138,Other school or curriculum restrictions,Dead,6/23/22,
RI,H 7539,Other school or curriculum restrictions,Dead,6/23/22,
RI,S 2516,Other school or curriculum restrictions,Dead,6/23/22,
SC,SB 900,Other school or curriculum restrictions,Dead,5/12/22,
SC,HB 4605,Other school or curriculum restrictions,Dead,5/12/22,
TN,SB 2777,Other school or curriculum restrictions,Dead,4/28/22,
TN,HB 2633,Other school or curriculum restrictions,Dead,4/28/22,
TN,HB 0800,Other school or curriculum restrictions,Dead,4/28/22,
TN,SB 1216,Other school or curriculum restrictions,Dead,4/28/22,
VA,SB 20,Other school or curriculum restrictions,Passed by indefinitely in committee,2/3/22,
VA,HB 988,Other school or curriculum restrictions,Died in committee,2/7/22,
WV,SB 498,Other school or curriculum restrictions,Dead,3/12/22,
WV,HB 4016,Other school or curriculum restrictions,Dead ,3/12/22,
MS,SB 2356,Restrictions on accessing accurate ID,Dead,2/10/22,
MS,HB 1099,Restrictions on accessing accurate ID,Died on calendar ,3/9/22,
OK,SB 1100,Restrictions on accessing accurate ID,Signed by Governor ,4/26/22,
IA,SF 167,Other anti-trans bills ,Dead,5/24/22,
IA,HF 272,Other anti-trans bills ,Dead,5/24/22,
IA,HF 326,Other anti-trans bills ,Dead,5/24/22,
IN,SB 402,Other anti-trans bills ,Dead,3/14/22,
NH,HB 1180,Other anti-trans bills ,Dead,5/26/22,
IA,HF 170,Religious Freedom Restoration Acts (RFRAs),Dead,5/24/22,
IA,SF 436,Religious Freedom Restoration Acts (RFRAs),Dead,5/24/22,
NJ,A 328,Religious Freedom Restoration Acts (RFRAs),Introduced and Referred to Committee,1/11/22,
WV,HB 2545,Religious Freedom Restoration Acts (RFRAs),Dead,3/12/22,
WY,HB 0154,Religious Freedom Restoration Acts (RFRAs),Dead,3/11/22,
FL,HB 747,Religious Exemptions in Healthcare Implicating LGBTQ People,Died in committee,3/14/22,
KY,HB 495,Religious Exemptions in Healthcare Implicating LGBTQ People,Dead,4/14/22,
SC,HB 3518,Religious Exemptions in Healthcare Implicating LGBTQ People,Dead,5/12/22,
SC,S 811,Religious Exemptions in Healthcare Implicating LGBTQ People,Dead,5/12/22,
SC,H 4776,Religious Exemptions in Healthcare Implicating LGBTQ People,Signed by Governor ,6/17/22,
AZ,SB 1399,Religious Exemptions in Adoption & Foster Care ,Signed by Governor ,4/6/22,
IA,HF 170,Religious Exemptions in Adoption & Foster Care ,Dead,5/24/22,
IN,HB 1338,Religious Exemptions in Adoption & Foster Care ,Dead,3/14/22,
KY,HB 1,Religious Exemptions in Adoption & Foster Care ,Delivered to Governor,3/30/22,
KY,HB 495,Religious Exemptions in Adoption & Foster Care ,Dead,4/14/22,
SC,H 3878,Religious Exemptions in Adoption & Foster Care ,Dead,5/12/22,
WV,SB 13,Religious Exemptions in Adoption & Foster Care ,Dead,3/12/22,
IA,HF 170,Other Religious Exemption Bills ,Dead,5/24/22,
MA,H 1536,Other Religious Exemption Bills ,Dead,8/1/22,
VA,HB 1137,Other Religious Exemption Bills ,Died in subcommittee,2/10/22,
SC,HB 5150,Other Anti-LGBTQ Bills,,,
TN,SB 1208,Other Anti-LGBTQ Bills,Dead ,4/28/22,
WI,AB 14,Other Anti-LGBTQ Bills,Failed to pass,3/15/22,
WI,SB 31,Other Anti-LGBTQ Bills,Failed to pass,3/15/22,
AK,HB 17,Nondiscrimination protections,Dead,5/18/22,
AK,SB 149,Nondiscrimination protections,Dead,5/18/22,
AZ,HB 2630,Nondiscrimination protections,Dead,6/25/22,
FL,HB 1597,Nondiscrimination protections,Died in committee,3/14/22,
ID,H 440,Nondiscrimination protections,Dead,3/31/22,
MI,HB 5349,Nondiscrimination protections,Active,1/12/22,
MO,HB 1760,Nondiscrimination protections,Dead,5/13/22,
MO,HB 1737,Nondiscrimination protections,Dead ,5/13/22,
MS,SB 2310,Nondiscrimination protections,Died in committee,2/1/22,
NE,LB 120,Nondiscrimination protections,Dead,4/20/22,
NE,LB 1136,Nondiscrimination protections,Dead,4/20/22,
NE,LB 1211,Nondiscrimination protections,Dead,4/20/22,
NJ,A 1846,Nondiscrimination protections,Introduced and Referred to Committee,1/11/22,
OK,HB 3001,Nondiscrimination protections,Dead,5/27/22,
PA,SB 1010,Nondiscrimination protections,Dead ,11/30/22,
RI,H 6655,Nondiscrimination protections,Dead,6/23/22,
RI,H 7117,Nondiscrimination protections,Dead,6/23/22,
SC,HB 3183,Nondiscrimination protections,Dead,5/12/22,
WV,HB 2538,Nondiscrimination protections,Dead,3/12/22,
WV,SB 156,Nondiscrimination protections,Dead,3/12/22,
WV,HB 2697,Nondiscrimination protections,Dead,3/12/22,
WV,HB 3272,Nondiscrimination protections,Dead,3/12/22,
HI,SB 752,Protections in healthcare,Dead,5/5/22,
IL,SB 2978,Protections in healthcare,Dead,4/9/22,
SC,HB 4801,Protections in healthcare,Dead,5/12/22,
VT,H 659,Protections in healthcare,Dead,5/12/22,
WA,SB 5688,Protections in healthcare,Dead,3/10/22,
WA,HB 1809,Protections in healthcare,Dead,3/10/22,
AZ,HB 1186,Allowing updated gender markers on ID,Dead,6/25/22,
IL,HB 9,Allowing updated gender markers on ID,Dead,4/9/22,
IL,HB 4444,Allowing updated gender markers on ID,Dead,4/9/22,
MA,HD 153,Allowing updated gender markers on ID,Dead,8/1/22,
NJ,A 1171,Allowing updated gender markers on ID,Introduced and Referred to Committee,1/11/22,
NY,S 607A,Allowing updated gender markers on ID,Dead,6/4/22,
VT,H 628,Allowing updated gender markers on ID,Signed by Governor ,4/8/22,
VT,S 273,Allowing updated gender markers on ID,Dead,4/20/22,
CA,SB 357,Sex work discriminalization bills,Signed by Governor ,7/1/22,
HI,SB 2557,Sex work discriminalization bills,Dead,5/5/22,
HI,HB 2265,Sex work discriminalization bills,Dead,5/5/22,
MO,HB 2338,Sex work discriminalization bills,Dead,5/13/22,
NH,HB 1176,Sex work discriminalization bills,Dead,5/26/22,
NY,A 849,Sex work discriminalization bills,Dead,6/4/22,
NY,S 3075,Sex work discriminalization bills,Dead,6/4/22,
NY,S 2878,Sex work discriminalization bills,Dead,6/4/22,
WA,HB 1816,Sex work discriminalization bills,Dead,3/10/22,
WA,SB 5693,Sex work discriminalization bills,Partially vetoed by Governor,3/31/22,
CA,AB 1041,Other good bills,Approved by Governor,9/29/22,
CA,SB 225,Other good bills,Approved by Governor,9/27/22,
CA,SB 379,Other good bills,Approved by Governor,9/16/22,
HI,SB 618,Other good bills,Dead,5/5/22,
IL,HB 4626,Other good bills,Dead,4/9/22,
IL,SB 3961,Other good bills,Dead ,4/9/22,
IN,HB 1047,Other good bills,Dead,3/14/22,
IN,HB 1158,Other good bills,Dead,3/14/22,
KY,HB 16,Other good bills,Dead,4/14/22,
MD,HB 0453,Other good bills,Dead,4/11/22,
MD,SB 550,Other good bills,Dead,4/11/22,
MN,SF 3130,Other good bills,Dead,3/12/22,
NJ,A 1751,Other good bills,Introduced and Referred to Committee,1/11/22,
NY,A 7001-A,Other good bills,Dead ,6/4/22,
OR,HB 4073,Other good bills,Dead,3/4/22,
OR,HB 4099,Other good bills,Dead,3/4/22,
WA,HB 1956,Other good bills,Signed by Governor ,3/31/22,
WA,SB 5859,Other good bills,Dead,3/10/22,
WV,SB 167,Other good bills,Dead,3/12/22,
WV,HB 2362,Other good bills,Dead,3/12/22,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Data is current as of December 21 2023,,,,,
